model,node21_score,time_sec,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_epoch_10_20251226_060555.pth,0.5546120546065141,186.7,0.2577422577396829,0.47052947052476995,0.5834165834107551,0.6493506493441623,0.683316683309857,0.683316683309857
checkpoint_epoch_09_20251226_124055.pth,0.5507825507770484,184.5,0.28271728271445834,0.528471528466249,0.6233766233703958,0.6233766233703958,0.6233766233703958,0.6233766233703958
checkpoint_epoch_09_20251226_060555.pth,0.5477855477800754,185.9,0.265734265731611,0.5204795204743209,0.6183816183754407,0.6273726273663599,0.6273726273663599,0.6273726273663599
checkpoint_epoch_06_20251221_072055.pth,0.5407925407871383,185.7,0.3846153846115423,0.4685314685267879,0.5394605394551503,0.6093906093845216,0.6213786213724138,0.6213786213724138
checkpoint_epoch_02_20251220_185546.pth,0.5406260406206398,185.3,0.3976023975984255,0.48151848151367116,0.575424575418827,0.5964035963976383,0.5964035963976383,0.5964035963976383
checkpoint_epoch_12_20251225_190742.pth,0.5371295371241713,182.9,0.45554445553990464,0.5534465534410246,0.5534465534410246,0.5534465534410246,0.5534465534410246,0.5534465534410246
checkpoint_epoch_11_20251225_190742.pth,0.5371295371241712,183.9,0.46753246752779687,0.5494505494450604,0.5514485514430425,0.5514485514430425,0.5514485514430425,0.5514485514430425
checkpoint_epoch_01_20251220_185546.pth,0.5274725274672579,185.3,0.3256743256710722,0.4355644355600843,0.5484515484460694,0.6183816183754407,0.6183816183754407,0.6183816183754407
checkpoint_epoch_06_20251225_190742.pth,0.5254745254692761,184.8,0.4385614385570573,0.524475524470285,0.5474525474470784,0.5474525474470784,0.5474525474470784,0.5474525474470784
checkpoint_epoch_10_20251225_190742.pth,0.523476523471294,184.8,0.45354645354192263,0.5294705294652401,0.5394605394551503,0.5394605394551503,0.5394605394551503,0.5394605394551503
checkpoint_epoch_10_20251226_124055.pth,0.5223110223058044,184.4,0.27572427572152125,0.5044955044904645,0.5884115884057102,0.5884115884057102,0.5884115884057102,0.5884115884057102
checkpoint_epoch_24_20251220_064052.pth,0.5211455211403149,187.4,0.2897102897073955,0.3996003995964076,0.4855144855096352,0.580419580413782,0.6533466533401264,0.7182817182745427
checkpoint_epoch_06_20251220_185546.pth,0.5201465201413239,183.3,0.36663336662970397,0.4465534465489855,0.5004995004945005,0.5904095904036922,0.6083916083855305,0.6083916083855305
checkpoint_epoch_23_20251220_064052.pth,0.5168165168113538,186.5,0.2907092907063865,0.39060939060548844,0.48851148850660825,0.5744255744198359,0.6463536463471893,0.7102897102826145
best_frcnn_node21_20251220_185546.pth,0.5113220113169032,183.4,0.3616383616347489,0.4465534465489855,0.5214785214733119,0.579420579414791,0.579420579414791,0.579420579414791
checkpoint_epoch_04_20251220_185546.pth,0.5113220113169032,184.4,0.3616383616347489,0.4465534465489855,0.5214785214733119,0.579420579414791,0.579420579414791,0.579420579414791
checkpoint_epoch_02_20251221_072055.pth,0.5048285048234616,184.9,0.29670329670033263,0.4165834165792549,0.5084915084864287,0.6023976023915845,0.6023976023915845,0.6023976023915845
best_frcnn_node21_20251221_072055.pth,0.5048285048234616,184.6,0.29670329670033263,0.4165834165792549,0.5084915084864287,0.6023976023915845,0.6023976023915845,0.6023976023915845
checkpoint_epoch_10_20251220_185546.pth,0.5038295038244706,183.2,0.40159840159438964,0.4995004994955095,0.5304695304642311,0.5304695304642311,0.5304695304642311,0.5304695304642311
checkpoint_epoch_05_20251220_185546.pth,0.502331002325984,183.5,0.37162837162465906,0.4475524475479765,0.5344655344601952,0.5534465534410246,0.5534465534410246,0.5534465534410246
checkpoint_epoch_02_20251226_214845.pth,0.5014985014934916,185.0,0.34365634365291053,0.4465534465489855,0.5074925074874377,0.5704295704238719,0.5704295704238719,0.5704295704238719
checkpoint_epoch_20_20251220_064052.pth,0.5014985014934915,185.6,0.2907092907063865,0.3776223776186052,0.4785214785166981,0.5554445554390065,0.632367632361315,0.6743256743189378
checkpoint_epoch_11_20251228_064854.pth,0.501332001326993,185.0,0.2057942057921499,0.4855144855096352,0.575424575418827,0.580419580413782,0.580419580413782,0.580419580413782
checkpoint_epoch_04_20251221_072055.pth,0.5009990009939961,184.5,0.3266733266700632,0.4275724275681561,0.5404595404541412,0.5704295704238719,0.5704295704238719,0.5704295704238719
checkpoint_epoch_21_20251220_064052.pth,0.5001665001615035,186.8,0.2857142857114314,0.3636363636327309,0.4655344655298148,0.5444555444501054,0.6433566433502163,0.6983016982947222
checkpoint_epoch_25_20251220_064052.pth,0.4985014984965184,186.5,0.25974025973766496,0.3596403596367668,0.47152847152376093,0.5554445554390065,0.6283716283653509,0.7162837162765606
best_frcnn_node21_20251220_172231.pth,0.4923409923360739,185.1,0.30269730269427875,0.37162837162465906,0.4635364635318328,0.579420579414791,0.6183816183754407,0.6183816183754407
checkpoint_epoch_02_20251220_172231.pth,0.4923409923360739,185.7,0.30269730269427875,0.37162837162465906,0.4635364635318328,0.579420579414791,0.6183816183754407,0.6183816183754407
checkpoint_epoch_18_20251220_064052.pth,0.4923409923360738,186.7,0.27772227771950325,0.37162837162465906,0.4605394605348597,0.5354645354591862,0.6183816183754407,0.6903096903027941
checkpoint_epoch_16_20251220_064052.pth,0.4908424908375873,189.2,0.2737262737235392,0.36063936063575786,0.4625374625328418,0.5404595404541412,0.6173826173764497,0.6903096903027941
best_frcnn_node21_20251220_064052.pth,0.4908424908375873,186.8,0.2737262737235392,0.36063936063575786,0.4625374625328418,0.5404595404541412,0.6173826173764497,0.6903096903027941
checkpoint_epoch_01_20251220_172231.pth,0.4901764901715933,185.9,0.2787212787184943,0.367632367628695,0.46153846153385075,0.5564435564379976,0.6383616383552612,0.6383616383552612
checkpoint_epoch_19_20251220_064052.pth,0.4878454878406142,187.0,0.2847152847124404,0.3646353646317219,0.45354645354192263,0.5304695304642311,0.6133866133804856,0.6803196803128839
checkpoint_epoch_17_20251220_064052.pth,0.48384948384465026,187.0,0.27272727272454816,0.3506493506458477,0.44055944055503937,0.5424575424521233,0.6153846153784677,0.6813186813118749
checkpoint_epoch_03_20251220_172231.pth,0.4808524808476771,185.9,0.30769230768923383,0.41458541458127285,0.5204795204743209,0.5474525474470784,0.5474525474470784,0.5474525474470784
checkpoint_epoch_15_20251220_064052.pth,0.48018648018168314,186.4,0.2737262737235392,0.3566433566397938,0.4425574425530214,0.5294705294652401,0.6073926073865396,0.6713286713219647
checkpoint_epoch_01_20251223_230437.pth,0.4696969696922775,184.1,0.3066933066902428,0.3976023975984255,0.4895104895055993,0.5414585414531323,0.5414585414531323,0.5414585414531323
3canales_frcnn_coco_best_frcnn_node21_20251223_230437.pth,0.4696969696922775,184.4,0.3066933066902428,0.3976023975984255,0.4895104895055993,0.5414585414531323,0.5414585414531323,0.5414585414531323
checkpoint_epoch_14_20251220_064052.pth,0.46903096902628344,186.6,0.26173826173564696,0.34465534465190156,0.42857142856714714,0.5204795204743209,0.5954045953986473,0.6633366633300366
checkpoint_epoch_13_20251220_064052.pth,0.4653679653633163,187.4,0.24575424575179067,0.33566433566098236,0.4275724275681561,0.5154845154793658,0.5964035963976383,0.6713286713219647
checkpoint_epoch_07_20251221_072055.pth,0.46336996336533426,184.1,0.37062937062566803,0.4475524475479765,0.4905094905045903,0.4905094905045903,0.4905094905045903,0.4905094905045903
checkpoint_epoch_12_20251220_064052.pth,0.4618714618668478,187.2,0.24175824175582658,0.33466533466199133,0.4275724275681561,0.5144855144803747,0.5864135864077281,0.6663336663270096
